PEDPEDAL_LOCATION,value,,
In crosswalk,48.93314367,,
In roadway,35.87482219,,
Unknown/na,8.13655761,,
Not in roadway,4.779516358,,
Driveway access,1.593172119,,
Shoulder,0.682788051,,
Bike lane,0.369843528,,
