PEDPEDAL_LOCATION,value,,
In crosswalk,43.79715004,,
In roadway,38.89354568,,
Unknown/na,9.094719195,,
Not in roadway,5.783738474,,
Driveway access,1.508801341,,
Shoulder,0.922045264,,
Bike lane,0.461022632,,
