PEDPEDAL_LOCATION,value,,
In crosswalk,47.59806082,1080,47.59806082
In roadway,33.89158219,769,33.89158219
Unknown/na,9.563684442,217,9.563684442
Not in roadway,5.949757602,135,5.949757602
Driveway access,1.145879242,26,1.145879242
Shoulder,1.013662406,23,1.013662406
Bike lane,0.837373292,19,0.837373292
