PEDPEDAL_LOCATION,value,,
In crosswalk,45.83808438,,
In roadway,37.85632839,,
Unknown/na,8.89395667,,
Not in roadway,5.188141391,,
Driveway access,1.767388826,,
Bike lane,0.456100342,,
