PEDPEDAL_LOCATION,value,,
In crosswalk,44.42200909,,
In roadway,38.76829884,,
Unknown/na,9.540636042,,
Not in roadway,5.451792024,,
Driveway access,1.564866229,,
Bike lane,0.252397779,,
